Battery List,,,,,,,,,,,,,,,
"Data has not changed since January 11, 2024",,,,,,,,,,,,,,,
"This list contains an extensive amount of equipment information. If you require any assistance, please reach out to us at SolarEquipment@energy.ca.gov or 916-654-4120.",,,,,,,,,,,,,,,
Battery List Notes,,,,,,,,,,,,,,,
Intentionally Left Blank,,,,,,,,,,,,,,,
"(1) This information references the 2022 Building Energy Efficiency Standards' Reference Joint Appendix 12. This appendix outlines requirements for energy storage systems to qualify for battery storage compliance credit. For more information, contact the Title 24 Hotline at (916) 654-5106 or Title24@energy.ca.gov.",,,,,,,,,,,,,,,
(2) Maximum continuous discharge rate as stated by the manufacturer on the spec sheet.,,,,,,,,,,,,,,,
Guidelines for California's Solar Electric Incentive Programs (Senate Bill 1),,,,,,,,,,,,,,,
Blue colored text indicates that the model number occurs multiple times on the list under different manufacturer names.,,,,,,,,,,,,,,,
Intentionally Left Blank,,,,,,,,,,,,,,,
Manufacturer Name,Brand1,Model Number,Technology,Description,UL 1973 Certification,,,Nameplate Energy Capacity,Maximum Continuous Discharge Rate2,Manufacturer Declared Roundtrip Efficiency,Certified JA12 Control  Strategies1,Declaration for JA12 Submitted1,Notes,CEC Listing Date,Last Update
BYD Auto Industry Company Limited,,BCO274-C15H1000V-U-R2M01,Lithium Iron Phosphate,"120 kW, 247 kWh lithium iron battery system",CSA Group,23/07/2019,Ed. 2 : 2018,247,120,No Information Submitted,No Information Submitted,N,,13/01/2020,
BYD Auto Industry Company Limited,,BCO274-C15H1000V-U-R1M02,Lithium Iron Phosphate,"120 kW, 255 kWh lithium iron battery system",CSA Group,23/07/2019,Ed. 2 : 2018,255,120,No Information Submitted,No Information Submitted,N,,13/01/2020,
BYD Auto Industry Company Limited,,BCO274-C15H1000V-U-R2M0,Lithium Iron Phosphate,"120 kW, 255 kWh lithium iron battery system",CSA Group,23/07/2019,Ed. 2 : 2018,255,120,No Information Submitted,No Information Submitted,N,,13/01/2020,
Cadenza Innovation,,CI48100,Lithium Iron Phosphate,"5.1 kW, 5.12 kWh, 100 Ah lithium iron phosphate battery",TUV Rheinland of North America,21/06/2023,Ed. 3 : 2022,5.12,5.1,No Information Submitted,No Information Submitted,N,,11/09/2023,
"Contemporary Amperex Technology Co., Limited",,O852280-E,Lithium iron phosphate,"186.3 kW, 372.7 kWh lithium iron battery system",TUV SUD,17/03/2021,Ed. 2 : 2018,372.7,186.3,No Information Submitted,No Information Submitted,N,,21/06/2023,
Darfon Electronics Corp.,,B07ULF-xxx,Lithium Iron Phosphate,"5.7 kW, 7.2 kWh lithium iron (LFP) battery; wildcard x can be 0-9, A-Z, a-z, or blank",CSA Group,18/12/2019,Ed. 2 : 2018,7.2,5.7,No Information Submitted,No Information Submitted,N,,21/01/2020,
Darfon Electronics Corp.,,B09ULF-xxx,Lithium Iron Phosphate,"5.7 kW, 9.6 kWh lithium iron (LFP) battery; wildcard x can be 0-9, A-Z, a-z, or blank",CSA Group,18/12/2019,Ed. 2 : 2018,9.6,5.7,No Information Submitted,No Information Submitted,N,,21/01/2020,
Darfon Electronics Corp.,,B17,Lithium Iron Phosphate,"10kW, 17.5 KWh Lithium iron phosphate (LFP) battery",TUV SUD,23/12/2022,Ed. 2 : 2018,18.4,10,No Information Submitted,No Information Submitted,N,,01/03/2023,
Discover Energy Corp.,,44-24-2800,Lithium Iron Phosphate,"2.8 kW, 2.8 kWh, 110 Ah lithium iron battery, 44 Series",UL,23/04/2018,Ed. 2 : 2018,2.816,,No Information Submitted,No Information Submitted,N,,02/01/2020,
Discover Energy Corp.,,42-48-6650,Lithium Iron Phosphate,"6.65 kW, 6.65 kWh, 130 Ah lithium iron battery, 42 Series",UL,23/04/2018,Ed. 2 : 2018,6.656,,No Information Submitted,No Information Submitted,N,,02/01/2020,
Discover Energy Systems Corp.,,48-48-5120,Lithium Iron Phosphate,"5.12 kW, 5.12 kWh, lithium iron phosphate battery",TUV Rheinland,02/11/2023,Ed. 2 : 2018,5.12,5.12,No Information Submitted,No Information Submitted,N,,21/12/2023,
Discover Energy Systems Corp.,,48-48-5120-H,Lithium Iron Phosphate,"5.12 kW, 5.12 kWh, lithium iron phosphate battery with integral heater",TUV Rheinland,02/11/2023,Ed. 2 : 2018,5.12,5.12,No Information Submitted,No Information Submitted,N,,21/12/2023,
"Dongguan Lithium Valley Energy Co, Ltd",,LV-BAT-R5.12Ab,Lithium Iron Phosphate,"5.12 kW, 5.12 kWh LiFePO4 lithium iron battery",Intertek,30/03/2023,Ed. 2 : 2018,5.12,5.12,No Information Submitted,No Information Submitted,N,,11/07/2023,
EG4 Electronics LLC,,WP-16/280-1AWLL,Lithium Iron Phosphate,"10.24 kW, 14.3 kWh, lithium iron phosphate battery",Intertek,26/10/2023,Ed. 3 : 2022,14.3,10.24,No Information Submitted,No Information Submitted,N,,11/12/2023,
"EndurEnergy Systems, Inc.",,ESP-5K HL,Lithium-Ion,"3 kW, 5 kWh lithium ion battery system",CSA Group,20/09/2023,Ed. 3 : 2022,5,3,No Information Submitted,No Information Submitted,N,,13/11/2023,
"EndurEnergy Systems, Inc.",,ESP-5100,Lithium-Ion,"4.5 kW, 5.12 kWh lithium ion battery system",Intertek,13/04/2022,Ed. 2 : 2018,5.12,4.5,No Information Submitted,No Information Submitted,N,,21/06/2022,
Energizer Solar,,PSUS4000H-2,Lithium Iron Phosphate,"5.76 kW, 7.95 kWh Lithium Ion (LFP) Battery Storage System",CSA Group,17/11/2023,Ed. 3 : 2022,7.95,5.76,No Information Submitted,No Information Submitted,N,,11/01/2024,
Energizer Solar,,PSUS4000H-3,Lithium Iron Phosphate,"8.64 kW, 11.92 kWh Lithium Ion (LFP) Battery Storage System",CSA Group,17/11/2023,Ed. 3 : 2022,11.92,8.64,No Information Submitted,No Information Submitted,N,,11/01/2024,
Energizer Solar,,PSUS4000H-4,Lithium Iron Phosphate,"11.52 kW, 15.90 kWh Lithium Ion (LFP) Battery Storage System",CSA Group,17/11/2023,Ed. 3 : 2022,15.9,11.52,No Information Submitted,No Information Submitted,N,,11/01/2024,
Energizer Solar,,PSUS4000H-5,Lithium Iron Phosphate,"14.4 kW, 19.87 kWh Lithium Ion (LFP) Battery Storage System",CSA Group,17/11/2023,Ed. 3 : 2022,19.87,14.4,No Information Submitted,No Information Submitted,N,,11/01/2024,
Energizer Solar,,PSUS4000H-6,Lithium Iron Phosphate,"17.28 kW, 23.85 kWh Lithium Ion (LFP) Battery Storage System",CSA Group,17/11/2023,Ed. 3 : 2022,23.85,17.28,No Information Submitted,No Information Submitted,N,,11/01/2024,
Energizer Solar,,PSUS4000H-7,Lithium Iron Phosphate,"20.16 kW, 27.82 kWh Lithium Ion (LFP) Battery Storage System",CSA Group,17/11/2023,Ed. 3 : 2022,27.82,20.16,No Information Submitted,No Information Submitted,N,,11/01/2024,
e-ON Batteries Inc.,,EB48125F-T110A,Lithium Iron Phosphate,"6.4 kW, 6.4 kWh LiFePO4 lithium iron battery",UL,18/09/2019,Ed. 2 : 2018,6.4,6.4,No Information Submitted,No Information Submitted,N,,27/09/2019,23/12/2019
e-ON Batteries Inc.,,EBR-P48192EDA1,Lithium Iron Phosphate,"5 kW, 9 kWh, 51.2 V LFP Battery System",UL,06/06/2022,Ed. 2 : 2018,9,5,No Information Submitted,No Information Submitted,N,,03/10/2022,
"EVE POWER CO., LTD.",,C40,Lithium Iron Phosphate,"0.192 kW, 0.064 kWh lithium iron phosphate (LFP) battery",UL,20/07/2022,Ed. 2 : 2018,0.064,0.192,No Information Submitted,No Information Submitted,N,,11/12/2023,
"EVE POWER CO., LTD.",,LF32,Lithium Iron Phosphate,"0.1024 kW, 0.1024 kWh lithium iron phosphate (LFP) battery",UL,24/05/2021,Ed. 2 : 2018,0.1024,0.1024,No Information Submitted,No Information Submitted,N,,11/12/2023,
"EVE POWER CO., LTD.",,LF50K,Lithium Iron Phosphate,"0.48 kW, 0.16 kWh, 3.2 V LFP Battery",UL,19/11/2020,Ed. 2 : 2018,0.16,0.48,No Information Submitted,No Information Submitted,N,,21/10/2021,
"EVE POWER CO., LTD.",,LF72K,Lithium Iron Phosphate,"1.2 kW, 0.2304 kWh lithium iron phosphate (LFP) battery",UL,22/08/2022,Ed. 3 : 2022,0.2304,1.2,No Information Submitted,No Information Submitted,N,,11/12/2023,
"EVE POWER CO., LTD.",,LF90,Lithium Iron Phosphate,"0.288 kW, 0.288 kWh lithium iron phosphate (LFP) battery",UL,14/11/2022,Ed. 3 : 2022,0.288,0.288,No Information Submitted,No Information Submitted,N,,11/12/2023,
"EVE POWER CO., LTD.",,LF100LA,Lithium Iron Phosphate,"0.48 kW, 0.432 kWh lithium iron phosphate (LFP) battery",UL,14/11/2022,Ed. 3 : 2022,0.32,0.48,No Information Submitted,No Information Submitted,N,,11/12/2023,
"EVE POWER CO., LTD.",,LF100MA,Lithium Iron Phosphate,"0.4896 kW, 0.3264 kWh lithium iron phosphate (LFP) battery",UL,13/12/2022,Ed. 3 : 2022,0.3264,0.4896,No Information Submitted,No Information Submitted,N,,11/12/2023,
"EVE POWER CO., LTD.",,LF105,Lithium Iron Phosphate,"0.336 kW, 0.336 kWh lithium iron phosphate (LFP) battery",UL,14/11/2022,Ed. 3 : 2022,0.336,0.336,No Information Submitted,No Information Submitted,N,,11/12/2023,
"EVE POWER CO., LTD.",,LF280K,Lithium Iron Phosphate,"0.48 kW, 0.16 kWh, 3.2 V LFP Battery",UL,16/04/2021,Ed. 2 : 2018,0.896,0.896,No Information Submitted,No Information Submitted,N,,21/10/2021,
"EVE POWER CO., LTD.",,BR-1-153.6/280-L,Lithium Iron Phosphate,"21.5 kW, 43 kWh lithium iron phosphate (LFP) battery",UL,28/07/2022,Ed. 2 : 2018,43,21.5,No Information Submitted,No Information Submitted,N,,11/12/2023,
"EVE POWER CO., LTD.",,BR-2-307.2/280-L,Lithium Iron Phosphate,"43 kW, 86 kWh lithium iron phosphate (LFP) battery",UL,28/07/2022,Ed. 2 : 2018,86,43,No Information Submitted,No Information Submitted,N,,11/12/2023,
"EVE POWER CO., LTD.",,BR-3-460.8/280-L,Lithium Iron Phosphate,"64.5 kW, 129 kWh lithium iron phosphate (LFP) battery",UL,28/07/2022,Ed. 2 : 2018,129,64.5,No Information Submitted,No Information Submitted,N,,11/12/2023,
"EVE POWER CO., LTD.",,BR-4-614.4/280-L,Lithium Iron Phosphate,"86 kW, 172 kWh lithium iron phosphate (LFP) battery",UL,28/07/2022,Ed. 2 : 2018,172,86,No Information Submitted,No Information Submitted,N,,11/12/2023,
"EVE POWER CO., LTD.",,BR-5-768/280-L,Lithium Iron Phosphate,"107.5 kW, 215 kWh lithium iron phosphate (LFP) battery",UL,28/07/2022,Ed. 2 : 2018,215,107.5,No Information Submitted,No Information Submitted,N,,11/12/2023,
"EVE POWER CO., LTD.",,BR-6-921.6/280-L,Lithium Iron Phosphate,"129 kW, 258 kWh lithium iron phosphate (LFP) battery",UL,28/07/2022,Ed. 2 : 2018,258,129,No Information Submitted,No Information Submitted,N,,11/12/2023,
"EVE POWER CO., LTD.",,BR-7-1075.2/280-L,Lithium Iron Phosphate,"150.5 kW, 301 kWh lithium iron phosphate (LFP) battery",UL,28/07/2022,Ed. 2 : 2018,301,150.5,No Information Submitted,No Information Submitted,N,,11/12/2023,
"EVE POWER CO., LTD.",,BR-8-1228.8/280-L,Lithium Iron Phosphate,"172 kW, 344 kWh lithium iron phosphate (LFP) battery",UL,28/07/2022,Ed. 2 : 2018,344,172,No Information Submitted,No Information Submitted,N,,11/12/2023,
FnS Power Technology Inc,,FCIFP48100A,Lithium Iron Phosphate,"3.5 kW, 4.8 kWh Lithium Iron Phosphate",Intertek,24/03/2021,Ed. 2 : 2018,4.8,3.5,No Information Submitted,No Information Submitted,N,,21/11/2022,
FnS Power Technology Inc,,SSIF2P15S48100C,Lithium Iron Phosphate,"3.5 kW, 4.8 kWh Lithium Iron Phosphate",Intertek,24/03/2021,Ed. 2 : 2018,4.8,3.5,No Information Submitted,No Information Submitted,N,,21/11/2022,
Fortress Power LLC,Fortress Power,eFlex 5.4,Lithium Iron Phosphate,"5 kW, 5.4 kWh, lithium iron phosphate battery",Intertek,11/08/2020,Ed. 2 : 2018,5,5.4,"98 [Sol-Ark 5K]
98 [Sol-Ark 8K]
98 [Sol-Ark 12K]
98 [Sol-Ark 15K]    ","Sol-Ark 5K - Basic, TOU, Advanced
Sol-Ark 8K - Basic, TOU, Advanced
Sol-Ark 12K - Basic, TOU, Advanced
Sol-Ark 15K - Basic, TOU, Advanced",Y,,11/09/2020,03/07/2023
Fortress Power LLC,Fortress Power,eVaultMax,Lithium Iron Phosphate,"9.2 kW, 18.5 kWh, lithium iron phosphate battery",Intertek,18/06/2021,Ed. 2 : 2018,18.43,9.2,"98 [Sol-Ark 5K]
98 [Sol-Ark 8K]
98 [Sol-Ark 12K]
98 [Sol-Ark 15K]","Sol-Ark 5K - Basic, TOU, Advanced
Sol-Ark 8K - Basic, TOU, Advanced
Sol-Ark 12K - Basic, TOU, Advanced
Sol-Ark 15K - Basic, TOU, Advanced",Y,,01/09/2021,03/07/2023
Fortress Power LLC,,eSpire 280,Lithium Iron Phosphate,"139.76 kW, 279.5 kWh, lithium iron phosphate (LFP) battery",TUV SUD America,24/05/2023,Ed. 2 : 2018,279.5,139.76,No Information Submitted,No Information Submitted,N,,21/07/2023,
Fortress Power LLC,,FP-SL00301U001L,Lithium Iron Phosphate,"150 kW, 301 kWh lithium iron phosphate (LFP) battery",TUV Rheinland of North America,03/08/2023,Ed. 3 : 2022,301.056,150.528,No Information Submitted,No Information Submitted,N,,23/10/2023,
Fortress Power LLC,,FP-SL00344U001L,Lithium Iron Phosphate,"172 kW, 344 kWh lithium iron phosphate (LFP) battery",TUV Rheinland of North America,08/08/2023,Ed. 3 : 2022,344.064,172.032,No Information Submitted,No Information Submitted,N,,23/10/2023,
"FOXESS CO., LTD.",,ECS4000-H2,Lithium Iron Phosphate,"5.76 kW, 7.95 kWh Lithium Ion (LFP) Battery Storage System",CSA Group,28/10/2022,Ed. 3 : 2022,7.95,5.76,No Information Submitted,No Information Submitted,N,,11/05/2023,
"FOXESS CO., LTD.",,ECS4000-H3,Lithium Iron Phosphate,"8.64 kW, 11.92 kWh Lithium Ion (LFP) Battery Storage System",CSA Group,28/10/2022,Ed. 3 : 2022,11.92,8.64,No Information Submitted,No Information Submitted,N,,11/05/2023,
"FOXESS CO., LTD.",,ECS4000-H4,Lithium Iron Phosphate,"11.52 kW, 15.90 kWh Lithium Ion (LFP) Battery Storage System",CSA Group,28/10/2022,Ed. 3 : 2022,15.9,11.52,No Information Submitted,No Information Submitted,N,,11/05/2023,
"FOXESS CO., LTD.",,ECS4000-H5,Lithium Iron Phosphate,"14.4 kW, 19.87 kWh Lithium Ion (LFP) Battery Storage System",CSA Group,28/10/2022,Ed. 3 : 2022,19.87,14.4,No Information Submitted,No Information Submitted,N,,11/05/2023,
Geneverse Energy Inc.,,GVB-5K-1R102-USS,Lithium Iron Phosphate,"5 kW, 5 kWh, lithium iron phosphate battery",CSA Group,12/05/2023,Ed. 2 : 2018,5,5,No Information Submitted,No Information Submitted,N,,02/01/2024,
Geneverse Energy Inc.,,GVB-10K-1R102-USS,Lithium Iron Phosphate,"9 kW, 10 kWh, lithium iron phosphate battery",CSA Group,12/05/2023,Ed. 2 : 2018,10,9,No Information Submitted,No Information Submitted,N,,02/01/2024,
Geneverse Energy Inc.,,GVB-15K-1R102-USS,Lithium Iron Phosphate,"10 kW, 15 kWh, lithium iron phosphate battery",CSA Group,12/05/2023,Ed. 2 : 2018,15,10,No Information Submitted,No Information Submitted,N,,02/01/2024,
Geneverse Energy Inc.,,GVB-20K-1R102-USS,Lithium Iron Phosphate,"10 kW, 20 kWh, lithium iron phosphate battery",CSA Group,12/05/2023,Ed. 2 : 2018,20,10,No Information Submitted,No Information Submitted,N,,02/01/2024,
"GoodWe Technologies Co., Ltd.",,SECU-S2.5,Lithium Iron Phosphate,"2.88 kW, 2.56 kWh lithium iron battery system",SGS,02/02/2021,Ed. 2 : 2018,2.56,2.88,No Information Submitted,No Information Submitted,N,,01/03/2021,
"GoodWe Technologies Co., Ltd.",,SECU-S5,Lithium Iron Phosphate,"5.76 kW, 5.12 kWh lithium iron battery system",SGS,02/02/2021,Ed. 2 : 2018,5.12,5.76,No Information Submitted,No Information Submitted,N,,01/03/2021,
"GoodWe Technologies Co., Ltd.",,SECU-S7.5,Lithium Iron Phosphate,"8.64 kW, 7.68 kWh lithium iron battery system",SGS,02/02/2021,Ed. 2 : 2018,7.68,8.64,No Information Submitted,No Information Submitted,N,,01/03/2021,
"GoodWe Technologies Co., Ltd.",,LX F9.6-30,Lithium Iron Phosphate,"6.72 kW, 9.6 kWh Li-ion battery system",SGS,21/10/2022,Ed. 2 : 2018,9.6,6.72,No Information Submitted,No Information Submitted,N,,12/12/2022,
"GoodWe Technologies Co., Ltd.",,SECU-S10,Lithium Iron Phosphate,"11.52 kW, 10.24 kWh lithium iron battery system",SGS,02/02/2021,Ed. 2 : 2018,10.24,11.52,No Information Submitted,No Information Submitted,N,,01/03/2021,
"GoodWe Technologies Co., Ltd.",,LX F12.8-30,Lithium Iron Phosphate,"8.96 kW, 12.8 kWh Li-ion battery system",SGS,21/10/2022,Ed. 2 : 2018,12.8,8.96,No Information Submitted,No Information Submitted,N,,12/12/2022,
"GoodWe Technologies Co., Ltd.",,SECU-S13,Lithium Iron Phosphate,"14.4 kW, 12.8 kWh lithium iron battery system",SGS,02/02/2021,Ed. 2 : 2018,12.8,14.4,No Information Submitted,No Information Submitted,N,,01/03/2021,
"GoodWe Technologies Co., Ltd.",,SECU-S15,Lithium Iron Phosphate,"17.28 kW, 15.36 kWh lithium iron battery system     ",SGS,02/02/2021,Ed. 2 : 2018,15.36,17.28,No Information Submitted,No Information Submitted,N,,01/03/2021,
"GoodWe Technologies Co., Ltd.",,LX F16.0-30,Lithium Iron Phosphate,"11.2 kW, 16 kWh Li-ion battery system",SGS,21/10/2022,Ed. 2 : 2018,16,11.2,No Information Submitted,No Information Submitted,N,,12/12/2022,
"GoodWe Technologies Co., Ltd.",,SECU-S18,Lithium Iron Phosphate,"20.16 kW, 17.92 kWh lithium iron battery system",SGS,02/02/2021,Ed. 2 : 2018,17.92,20.16,No Information Submitted,No Information Submitted,N,,01/03/2021,
"GoodWe Technologies Co., Ltd.",,LX F19.2-30,Lithium Iron Phosphate,"13.44 kW, 19.2 kWh Li-ion battery system",SGS,21/10/2022,Ed. 2 : 2018,19.2,13.44,No Information Submitted,No Information Submitted,N,,12/12/2022,
"GoodWe Technologies Co., Ltd.",,SECU-S20,Lithium Iron Phosphate,"23.04kW, 20.48 kWh lithium iron battery system",SGS,02/02/2021,Ed. 2 : 2018,20.48,23.04,No Information Submitted,No Information Submitted,N,,01/03/2021,
"Greensun Solar Energy Tech Co., Limited",,TH-48200-W,Lithium-Ion,"4.8 kW, 9.6 kWh lithium ion battery",TUV Rheinland,14/07/2023,Ed. 3 : 2022,9.6,4.8,No Information Submitted,No Information Submitted,N,,11/10/2023,
"Guangzhou Felicity Solar Technology Co., Ltd",,EC10000,Lithium Ion,"5 kW, 10.24 kWh lithium ion battery",TUV Rheinland of North America,08/08/2023,Ed. 3 : 2022,10.24,5,No Information Submitted,No Information Submitted,N,,11/10/2023,
GuangZhou MeriTech Power Co Ltd      ,,MERITSUN LFP48V100AH,Lithium Iron Phosphate,"4.8 kW, 5 kWh, LiFePO4 lithium iron battery",UL,07/07/2022,Ed. 2 : 2018,5,4.8,No Information Submitted,No Information Submitted,N,,01/11/2022,
GuangZhou MeriTech Power Co Ltd      ,,MERITSUN LFP51.2V100AH,Lithium Iron Phosphate,"4.8 kW, 5 kWh, LiFePO4 lithium iron battery",UL,07/07/2022,Ed. 2 : 2018,5,4.8,No Information Submitted,No Information Submitted,N,,01/11/2022,
"Guangzhou Sanjing Electric Co., Ltd.",,B2-7.3-HV5,Lithium Ion,"5.12 kW, 7.3 kWh lithium ion battery system",Intertek,28/07/2023,Ed. 3 : 2022,7.3,5.12,No Information Submitted,No Information Submitted,N,,21/12/2023,
"Guangzhou Sanjing Electric Co., Ltd.",,B2-14.6-HV5,Lithium Ion,"10.24 kW, 14.6 kWh lithium ion battery system",Intertek,28/07/2023,Ed. 3 : 2022,14.6,10.24,No Information Submitted,No Information Submitted,N,,21/12/2023,
"Guangzhou Sanjing Electric Co., Ltd.",,B2-21.9-HV5,Lithium Ion,"15.36 kW, 21.9 kWh lithium ion battery system",Intertek,28/07/2023,Ed. 3 : 2022,21.9,15.36,No Information Submitted,No Information Submitted,N,,21/12/2023,
HANWHA Q CELLS AMERICA INC.,,Q.SAVE D10.0SX,Lithium Iron,"5.5kW, 10kWh, lithium iron battery system",CSA Group,29/06/2022,Ed. 2 : 2018,10,5.5,No Information Submitted,No Information Submitted,N,,11/04/2023,
HANWHA Q CELLS AMERICA INC.,,Q.SAVE D15.0SX,Lithium Iron,"8.3kW, 15kWh, lithium iron battery system",CSA Group,29/06/2022,Ed. 2 : 2018,15,8.3,No Information Submitted,No Information Submitted,N,,11/04/2023,
HANWHA Q CELLS AMERICA INC.,,Q.SAVE D20.0SX,Lithium Iron,"11.1kW, 20kWh, lithium iron battery system",CSA Group,29/06/2022,Ed. 2 : 2018,20,11.1,No Information Submitted,No Information Submitted,N,,11/04/2023,
Holu Hou Energy LLC,,HH8200H-EB,Lithium-Ion,"6.4 kW, 8.2 kWh lithium ion Battery",TUV Rheinland,07/05/2022,Ed. 2 : 2018,8.2,6.4,No Information Submitted,No Information Submitted,N,,11/01/2023,
"Humless, LLC",,LFP48100-P5KWH,Lithium Iron Phosphate,"5.12 kW, 4.92 kWh, 96 Ah lithium iron phosphate battery",SGS,19/08/2022,Ed. 2 : 2018,4.92,5.12,No Information Submitted,No Information Submitted,N,,03/01/2023,
"Humless, LLC",,W48100B-IP65,Lithium Iron Phosphate,"5.12 kW, 4.92 kWh, 96 Ah lithium iron phosphate battery",SGS,19/08/2022,Ed. 2 : 2018,4.92,5.12,No Information Submitted,No Information Submitted,N,,03/01/2023,
"Humless, LLC",,LFP48100-5KWH,Lithium Iron Phosphate,"5.12 kW, 5.12 kWh, 100 Ah lithium iron phosphate battery",Intertek,22/07/2020,Ed. 2 : 2018,5.12,5.12,No Information Submitted,No Information Submitted,N,,23/11/2020,
