Name,Module_Name,Manufacturer,Technology,Bifacial,STC_Wp,PTC_Wp,Area_m2,Efficiency,Length_m,Width_m,Num_Cells,I_sc,V_oc,I_mp,V_mp,T_NOCT_C,Temp_Coeff
,Star Solar Inc. STAR-435W-m72H,Star Solar Inc.,Mono-crystalline,0,435.348,406.8,2.21,0.197,,,72,11.31,50.4,10.44,41.7,43.8,-0.355
,Star Solar Inc. STAR-435W-m72HB,Star Solar Inc.,Mono-crystalline,0,435.348,406.3,2.21,0.197,,,72,11.31,50.4,10.44,41.7,43.9,-0.359
,GermanSolar USA Inc. GSM-435W-H,GermanSolar USA Inc.,Mono-crystalline,0,435.336,405.4,2.21,0.197,,,144,11.24,49,10.67,40.8,43.9,-0.371
,Vikram Solar PREXOS VSMDHT.72.435.05,Vikram Solar,Mono-crystalline,1,435.114,400.2,2.21,0.1969,,,72,11.45,48.7,10.51,41.4,47.2,-0.372
,WAAREE ENERGIES LIMITED Bi-33-435,WAAREE ENERGIES LIMITED,Mono-crystalline,1,435.072,404.3,2.21,0.1969,,,72,11.25,49.6,10.56,41.2,46.2,-0.343
,La Solar LLC LS435HC,La Solar LLC,Mono-crystalline,0,434.97,406.1,2.21,0.1968,,,72,11.31,49,10.74,40.5,44.1,-0.358
,GermanSolar USA Inc. GSM-430W-H,GermanSolar USA Inc.,Mono-crystalline,0,430.515,400.6,2.21,0.1948,,,144,11.18,48.8,10.63,40.5,43.9,-0.371
,Risen Energy Co. Ltd. RSM144-7-430M,Risen Energy Co. Ltd.,Mono-crystalline,0,430.5,400.2,2.21,0.1948,,,72,11.1,49.3,10.5,41,45.4,-0.348
,WAAREE ENERGIES LIMITED Bi-33-430,WAAREE ENERGIES LIMITED,Mono-crystalline,1,430.09,399.5,2.21,0.1946,,,72,11.19,49.4,10.49,41,46.2,-0.343
,Magnus green solar LLC MGS-430W-M54HN-M10,Magnus green solar LLC,Mono-crystalline,0,429.94,401.6,2.21,0.1945,,,72,11.3,50.2,10.36,41.5,43.9,-0.359
,MSquare Energy Pty Ltd MSE-430W-m72H,MSquare Energy Pty Ltd,Mono-crystalline,0,429.94,402,2.21,0.1945,,,72,11.3,50.2,10.36,41.5,43.8,-0.355
,MSquare Energy Pty Ltd MSE-430W-m72HB,MSquare Energy Pty Ltd,Mono-crystalline,0,429.94,401.5,2.21,0.1945,,,72,11.3,50.2,10.36,41.5,43.9,-0.359
,MSquare Energy Pty Ltd MSE-430W-m72HBi,MSquare Energy Pty Ltd,Mono-crystalline,1,429.94,401.8,2.21,0.1945,,,72,11.3,50.2,10.36,41.5,43.8,-0.358
,Prism Solar Technologies Inc. PST-430W-m72H,Prism Solar Technologies Inc.,Mono-crystalline,0,429.94,402,2.21,0.1945,,,72,11.3,50.2,10.36,41.5,43.8,-0.355
,Prism Solar Technologies Inc. PST-430W-m72HB,Prism Solar Technologies Inc.,Mono-crystalline,0,429.94,401.5,2.21,0.1945,,,72,11.3,50.2,10.36,41.5,43.9,-0.359
,Prism Solar Technologies Inc. PST-430W-m72HBi,Prism Solar Technologies Inc.,Mono-crystalline,1,429.94,401.8,2.21,0.1945,,,72,11.3,50.2,10.36,41.5,43.8,-0.358
,La Solar LLC LS430HC,La Solar LLC,Mono-crystalline,0,429.598,401.3,2.21,0.1944,,,72,11.24,48.8,10.66,40.3,44.1,-0.358
,Magnus green solar LLC MGS-425W-M54HN-M10,Magnus green solar LLC,Mono-crystalline,0,425.39,396.8,2.21,0.1925,,,72,11.29,50,10.3,41.3,43.9,-0.359
,MSquare Energy Pty Ltd MSE-425W-m72H,MSquare Energy Pty Ltd,Mono-crystalline,0,425.39,397.2,2.21,0.1925,,,72,11.29,50,10.3,41.3,43.8,-0.355
,MSquare Energy Pty Ltd MSE-425W-m72HB,MSquare Energy Pty Ltd,Mono-crystalline,0,425.39,396.8,2.21,0.1925,,,72,11.29,50,10.3,41.3,43.9,-0.359
,MSquare Energy Pty Ltd MSE-425W-m72HBi,MSquare Energy Pty Ltd,Mono-crystalline,1,425.39,397,2.21,0.1925,,,72,11.29,50,10.3,41.3,43.8,-0.358
,Prism Solar Technologies Inc. PST-425W-m72H,Prism Solar Technologies Inc.,Mono-crystalline,0,425.39,397.2,2.21,0.1925,,,72,11.29,50,10.3,41.3,43.8,-0.355
,Prism Solar Technologies Inc. PST-425W-m72HB,Prism Solar Technologies Inc.,Mono-crystalline,0,425.39,396.8,2.21,0.1925,,,72,11.29,50,10.3,41.3,43.9,-0.359
,Prism Solar Technologies Inc. PST-425W-m72HBi,Prism Solar Technologies Inc.,Mono-crystalline,1,425.39,397,2.21,0.1925,,,72,11.29,50,10.3,41.3,43.8,-0.358
,Risen Energy Co. Ltd. RSM144-7-425M,Risen Energy Co. Ltd.,Mono-crystalline,0,425.36,395.5,2.21,0.1925,,,72,11,49.2,10.4,40.9,45.4,-0.348
,GermanSolar USA Inc. GSM-425W-H,GermanSolar USA Inc.,Mono-crystalline,0,425.316,395.8,2.21,0.1925,,,144,11.12,48.5,10.58,40.2,43.9,-0.371
,WAAREE ENERGIES LIMITED Bi-33-425,WAAREE ENERGIES LIMITED,Mono-crystalline,1,425.136,394.8,2.21,0.1924,,,72,11.11,49.2,10.42,40.8,46.2,-0.343
,WAAREE ENERGIES LIMITED Bi-33-420,WAAREE ENERGIES LIMITED,Mono-crystalline,1,420.21,390,2.21,0.1901,,,72,11.04,49,10.35,40.6,46.2,-0.343
,MSquare Energy Pty Ltd MSE-420W-m72H,MSquare Energy Pty Ltd,Mono-crystalline,0,419.828,392.5,2.21,0.19,,,72,11.27,49.8,10.19,41.2,43.8,-0.355
,MSquare Energy Pty Ltd MSE-420W-m72HB,MSquare Energy Pty Ltd,Mono-crystalline,0,419.828,392,2.21,0.19,,,72,11.27,49.8,10.19,41.2,43.9,-0.359
,MSquare Energy Pty Ltd MSE-420W-m72HBi,MSquare Energy Pty Ltd,Mono-crystalline,1,419.828,392.3,2.21,0.19,,,72,11.27,49.8,10.19,41.2,43.8,-0.358
,Prism Solar Technologies Inc. PST-420W-m72H,Prism Solar Technologies Inc.,Mono-crystalline,0,419.828,392.5,2.21,0.19,,,72,11.27,49.8,10.19,41.2,43.8,-0.355
,Prism Solar Technologies Inc. PST-420W-m72HB,Prism Solar Technologies Inc.,Mono-crystalline,0,419.828,392,2.21,0.19,,,72,11.27,49.8,10.19,41.2,43.9,-0.359
,Prism Solar Technologies Inc. PST-420W-m72HBi,Prism Solar Technologies Inc.,Mono-crystalline,1,419.828,392.3,2.21,0.19,,,72,11.27,49.8,10.19,41.2,43.8,-0.358
,GermanSolar USA Inc. GSM-420W-H,GermanSolar USA Inc.,Mono-crystalline,0,419.748,391.1,2.21,0.1899,,,144,11.06,48.3,10.52,39.9,43.9,-0.371
,MSquare Energy Pty Ltd MSE-415W-m72H,MSquare Energy Pty Ltd,Mono-crystalline,0,415.296,387.7,2.21,0.1879,,,72,11.23,49.6,10.08,41.2,43.8,-0.355
,MSquare Energy Pty Ltd MSE-415W-m72HB,MSquare Energy Pty Ltd,Mono-crystalline,0,415.296,387.3,2.21,0.1879,,,72,11.23,49.6,10.08,41.2,43.9,-0.358
,MSquare Energy Pty Ltd MSE-415W-m72HBi,MSquare Energy Pty Ltd,Mono-crystalline,1,415.296,387.5,2.21,0.1879,,,72,11.23,49.6,10.08,41.2,43.8,-0.358
,Prism Solar Technologies Inc. PST-415W-M72h,Prism Solar Technologies Inc.,Mono-crystalline,0,415.296,387.7,2.21,0.1879,,,72,11.23,49.6,10.08,41.2,43.8,-0.355
,Prism Solar Technologies Inc. PST-415W-m72HB,Prism Solar Technologies Inc.,Mono-crystalline,0,415.296,387.3,2.21,0.1879,,,72,11.23,49.6,10.08,41.2,43.9,-0.358
,Prism Solar Technologies Inc. PST-415W-m72HBi,Prism Solar Technologies Inc.,Mono-crystalline,1,415.296,387.5,2.21,0.1879,,,72,11.23,49.6,10.08,41.2,43.8,-0.358
,GermanSolar USA Inc. GSM-415W-H,GermanSolar USA Inc.,Mono-crystalline,0,415.262,386.3,2.21,0.1879,,,144,11,48,10.46,39.7,43.9,-0.371
,Miasole FLEX-03 320W,Miasole,CIGS,0,320.8,277.6,2.21,0.1452,,,72,9.08,49.5,8.02,40,49.1,-0.519
,Miasole FLEX-03 310W,Miasole,CIGS,0,310.44,268.6,2.21,0.1405,,,72,9.14,48.7,7.96,39,49.1,-0.519
,Miasole FLEX-03 300W,Miasole,CIGS,0,300.609,259.7,2.21,0.136,,,72,9.21,48,7.89,38.1,49.1,-0.519
,Miasole FLEX-03 290W,Miasole,CIGS,0,291.276,250.8,2.21,0.1318,,,72,9.27,47.2,7.83,37.2,49.1,-0.519
,LG Electronics Inc. LG470N2W-E6,LG Electronics Inc.,Mono-crystalline,0,469.99,438.3,2.2,0.2136,,,72,11.57,50.7,10.93,43,45.6,-0.347
,LG Electronics Inc. LG460N2W-E6,LG Electronics Inc.,Mono-crystalline,0,460.464,428.7,2.2,0.2093,,,72,11.45,50.2,10.86,42.4,45.6,-0.347
,HYUNDAI ENERGY SOLUTIONS CO. LTD. HiG-S460NI,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Mono-crystalline,1,460.096,429.4,2.2,0.2091,,,72,11.67,49.8,11.06,41.6,46.2,-0.331
,United Renewable Energy Co. Ltd. FAL460A8G,United Renewable Energy Co. Ltd.,Mono-crystalline,1,460.096,429.4,2.2,0.2091,,,72,11.67,49.8,11.06,41.6,46.2,-0.331
,Vietnam Sunergy Joint Stock Company VSUN460-144BMH-DG,Vietnam Sunergy Joint Stock Company,Mono-crystalline,1,460.096,429.4,2.2,0.2091,,,72,11.67,49.8,11.06,41.6,46.2,-0.331
,Boviet Solar Technology Co. Ltd. BVM6612M-455S-H-HC,Boviet Solar Technology Co. Ltd.,Mono-crystalline,0,456.035,426.7,2.2,0.2073,,,72,11.71,49.3,11.15,40.9,42.9,-0.364
,LG Electronics Inc. LG455N2W-E6,LG Electronics Inc.,Mono-crystalline,0,455.943,423.9,2.2,0.2072,,,72,11.39,49.9,10.83,42.1,45.6,-0.347
,HYUNDAI ENERGY SOLUTIONS CO. LTD. HiG-S455NI,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Mono-crystalline,1,455.4,424.6,2.2,0.207,,,72,11.6,49.6,11,41.4,46.2,-0.331
,United Renewable Energy Co. Ltd. FAL455A8G,United Renewable Energy Co. Ltd.,Mono-crystalline,1,455.4,424.6,2.2,0.207,,,72,11.6,49.6,11,41.4,46.2,-0.331
,Vietnam Sunergy Joint Stock Company VSUN455-144BMH-DG,Vietnam Sunergy Joint Stock Company,Mono-crystalline,1,455.4,424.6,2.2,0.207,,,72,11.6,49.6,11,41.4,46.2,-0.331
,Boviet Solar Technology Co. Ltd. BVM6612M-450S-H-HC,Boviet Solar Technology Co. Ltd.,Mono-crystalline,0,451.248,421.9,2.2,0.2051,,,72,11.6,49.1,11.06,40.8,42.9,-0.364
,LG Electronics Inc. LG450N2W-E6,LG Electronics Inc.,Mono-crystalline,0,451.022,419.2,2.2,0.205,,,72,11.34,49.7,10.79,41.8,45.6,-0.347
,HYUNDAI ENERGY SOLUTIONS CO. LTD. HiS-S450PJ,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Mono-crystalline,1,450.9,422,2.2,0.205,,,78,10.51,53.8,10.02,45,43.5,-0.352
,HYUNDAI ENERGY SOLUTIONS CO. LTD. HiG-S450NI,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Mono-crystalline,1,450.316,419.8,2.2,0.2047,,,72,11.52,49.4,10.93,41.2,46.2,-0.331
,United Renewable Energy Co. Ltd. FAL450A8G,United Renewable Energy Co. Ltd.,Mono-crystalline,1,450.316,419.8,2.2,0.2047,,,72,11.52,49.4,10.93,41.2,46.2,-0.331
,Universal Solar Americas S.A. UNI450-144BMH-DG,Universal Solar Americas S.A.,Mono-crystalline,1,450.316,419.8,2.2,0.2047,,,72,11.52,49.4,10.93,41.2,46.2,-0.331
,Vietnam Sunergy Joint Stock Company VSUN450-144BMH-DG,Vietnam Sunergy Joint Stock Company,Mono-crystalline,1,450.316,419.8,2.2,0.2047,,,72,11.52,49.4,10.93,41.2,46.2,-0.331
,Boviet Solar Technology Co. Ltd. BVM6612M-445S-H-HC,Boviet Solar Technology Co. Ltd.,Mono-crystalline,0,446.194,417.1,2.2,0.2028,,,72,11.55,48.8,10.99,40.6,42.9,-0.364
,LG Electronics Inc. LG445N2W-E6,LG Electronics Inc.,Mono-crystalline,0,445.71,414.4,2.2,0.2026,,,72,11.27,49.4,10.74,41.5,45.6,-0.347
,HYUNDAI ENERGY SOLUTIONS CO. LTD. HiS-S445PJ,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Mono-crystalline,1,445.659,417.2,2.2,0.2026,,,78,10.46,53.5,9.97,44.7,43.5,-0.352
,HYUNDAI ENERGY SOLUTIONS CO. LTD. HiG-S445NI,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Mono-crystalline,1,445.26,415,2.2,0.2024,,,72,11.44,49.2,10.86,41,46.2,-0.331
,United Renewable Energy Co. Ltd. FAL445A8G,United Renewable Energy Co. Ltd.,Mono-crystalline,1,445.26,415,2.2,0.2024,,,72,11.44,49.2,10.86,41,46.2,-0.331
,Universal Solar Americas S.A. UNI445-144BMH-DG,Universal Solar Americas S.A.,Mono-crystalline,1,445.26,415,2.2,0.2024,,,72,11.44,49.2,10.86,41,46.2,-0.331
,Vietnam Sunergy Joint Stock Company VSUN445-144BMH-DG,Vietnam Sunergy Joint Stock Company,Mono-crystalline,1,445.26,415,2.2,0.2024,,,72,11.44,49.2,10.86,41,46.2,-0.331
,Boviet Solar Technology Co. Ltd. BVM6612M-440S-H-HC,Boviet Solar Technology Co. Ltd.,Mono-crystalline,0,441.168,412.3,2.2,0.2005,,,72,11.48,48.6,10.92,40.4,42.9,-0.364
,LG Electronics Inc. LG440N2W-E6,LG Electronics Inc.,Mono-crystalline,0,440.84,409.6,2.2,0.2004,,,72,11.2,49.1,10.7,41.2,45.6,-0.347
,HYUNDAI ENERGY SOLUTIONS CO. LTD. HiS-S440PJ,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Mono-crystalline,1,440.448,412.4,2.2,0.2002,,,78,10.41,53.2,9.92,44.4,43.5,-0.352
,HYUNDAI ENERGY SOLUTIONS CO. LTD. HiG-S440NI,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Mono-crystalline,1,440.232,410.2,2.2,0.2001,,,72,11.36,49,10.79,40.8,46.2,-0.331
,United Renewable Energy Co. Ltd. FAL440A8G,United Renewable Energy Co. Ltd.,Mono-crystalline,1,440.232,410.2,2.2,0.2001,,,72,11.36,49,10.79,40.8,46.2,-0.331
,Vietnam Sunergy Joint Stock Company VSUN440-144BMH-DG,Vietnam Sunergy Joint Stock Company,Mono-crystalline,1,440.232,410.2,2.2,0.2001,,,72,11.36,49,10.79,40.8,46.2,-0.331
,Boviet Solar Technology Co. Ltd. BVM6612M-435S-H-HC,Boviet Solar Technology Co. Ltd.,Mono-crystalline,0,436.17,407.5,2.2,0.1983,,,72,11.42,48.5,10.85,40.2,42.9,-0.364
,LG Electronics Inc. LG435N2W-E6,LG Electronics Inc.,Mono-crystalline,0,435.585,404.8,2.2,0.198,,,72,11.14,48.8,10.65,40.9,45.6,-0.347
,HYUNDAI ENERGY SOLUTIONS CO. LTD. HiS-S435PJ,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Mono-crystalline,1,435.267,407.6,2.2,0.1978,,,78,10.36,52.9,9.87,44.1,43.5,-0.352
,HYUNDAI ENERGY SOLUTIONS CO. LTD. HiG-S435NI,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Mono-crystalline,1,435.232,405.4,2.2,0.1978,,,72,11.28,48.8,10.72,40.6,46.2,-0.331
,United Renewable Energy Co. Ltd. FAL435A8G,United Renewable Energy Co. Ltd.,Mono-crystalline,1,435.232,405.4,2.2,0.1978,,,72,11.28,48.8,10.72,40.6,46.2,-0.331
,Vietnam Sunergy Joint Stock Company VSUN435-144BMH-DG,Vietnam Sunergy Joint Stock Company,Mono-crystalline,1,435.232,405.4,2.2,0.1978,,,72,11.28,48.8,10.72,40.6,46.2,-0.331
,Boviet Solar Technology Co. Ltd. BVM6612M-430S-H-HC,Boviet Solar Technology Co. Ltd.,Mono-crystalline,0,431.2,402.7,2.2,0.196,,,72,11.34,48.3,10.78,40,42.9,-0.364
,HYUNDAI ENERGY SOLUTIONS CO. LTD. HiS-S430PJ,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Mono-crystalline,1,430.554,402.8,2.2,0.1957,,,78,10.32,52.6,9.83,43.8,43.5,-0.352
,LG Electronics Inc. LG430N2W-E6,LG Electronics Inc.,Mono-crystalline,0,430.36,400,2.2,0.1956,,,72,11.08,48.6,10.6,40.6,45.6,-0.347
,HYUNDAI ENERGY SOLUTIONS CO. LTD. HiG-S430NI,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Mono-crystalline,1,430.26,400.7,2.2,0.1956,,,72,11.2,48.6,10.65,40.4,46.2,-0.331
,United Renewable Energy Co. Ltd. FAL430A8G,United Renewable Energy Co. Ltd.,Mono-crystalline,1,430.26,400.7,2.2,0.1956,,,72,11.2,48.6,10.65,40.4,46.2,-0.331
,Vietnam Sunergy Joint Stock Company VSUN430-144BMH-DG,Vietnam Sunergy Joint Stock Company,Mono-crystalline,1,430.26,400.7,2.2,0.1956,,,72,11.2,48.6,10.65,40.4,46.2,-0.331
,Boviet Solar Technology Co. Ltd. BVM6612M-425S-H-HC,Boviet Solar Technology Co. Ltd.,Mono-crystalline,0,426.258,397.9,2.2,0.1938,,,72,11.28,48.1,10.71,39.8,42.9,-0.364
,HYUNDAI ENERGY SOLUTIONS CO. LTD. HiS-S425PJ,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Mono-crystalline,1,425.43,398,2.2,0.1934,,,78,10.27,52.3,9.78,43.5,43.5,-0.352
,HYUNDAI ENERGY SOLUTIONS CO. LTD. HiS-S420PJ,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Mono-crystalline,1,420.336,393.2,2.2,0.1911,,,78,10.22,52,9.73,43.2,43.5,-0.352
,Miasole FLEX-02-275N C132,Miasole,Thin-Film,0,275.023,253.6,2.192,0.1255,5.923,0.37,132,4.52,89,3.89,70.7,43.2,-0.3893
,HYUNDAI ENERGY SOLUTIONS CO. LTD. HiG-S470XI,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Mono-crystalline,0,470.108,437.1,2.19,0.2147,,,72,11.81,50.8,11.14,42.2,45,-0.373
,United Renewable Energy Co. Ltd. FAK470E8G,United Renewable Energy Co. Ltd.,Mono-crystalline,0,470.108,437.1,2.19,0.2147,,,72,11.81,50.8,11.14,42.2,45,-0.373
,United Renewable Energy Co. Ltd. FAK470E8G-BW,United Renewable Energy Co. Ltd.,Mono-crystalline,0,470.108,437.1,2.19,0.2147,,,72,11.81,50.8,11.14,42.2,45,-0.373
,Vietnam Sunergy Joint Stock Company VSUN470-144MH,Vietnam Sunergy Joint Stock Company,Mono-crystalline,0,470.108,437.1,2.19,0.2147,,,72,11.81,50.8,11.14,42.2,45,-0.373
,Vietnam Sunergy Joint Stock Company VSUN470-144MH-BW,Vietnam Sunergy Joint Stock Company,Mono-crystalline,0,470.108,437.1,2.19,0.2147,,,72,11.81,50.8,11.14,42.2,45,-0.373
,HYUNDAI ENERGY SOLUTIONS CO. LTD. HiG-S465XI,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Mono-crystalline,0,465.36,432.3,2.19,0.2125,,,72,11.74,50.6,11.08,42,45,-0.373
,United Renewable Energy Co. Ltd. FAK465E8G,United Renewable Energy Co. Ltd.,Mono-crystalline,0,465.36,432.3,2.19,0.2125,,,72,11.74,50.6,11.08,42,45,-0.373
,United Renewable Energy Co. Ltd. FAK465E8G-BW,United Renewable Energy Co. Ltd.,Mono-crystalline,0,465.36,432.3,2.19,0.2125,,,72,11.74,50.6,11.08,42,45,-0.373
,Vietnam Sunergy Joint Stock Company VSUN465-144MH,Vietnam Sunergy Joint Stock Company,Mono-crystalline,0,465.36,432.3,2.19,0.2125,,,72,11.74,50.6,11.08,42,45,-0.373
,Vietnam Sunergy Joint Stock Company VSUN465-144MH-BW,Vietnam Sunergy Joint Stock Company,Mono-crystalline,0,465.36,432.3,2.19,0.2125,,,72,11.74,50.6,11.08,42,45,-0.373
,HYUNDAI ENERGY SOLUTIONS CO. LTD. HiG-S465YI,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Mono-crystalline,1,465.234,433,2.19,0.2124,,,72,11.75,50,11.13,41.8,45.7,-0.352
,United Renewable Energy Co. Ltd. FAK465C8G,United Renewable Energy Co. Ltd.,Mono-crystalline,1,465.234,433,2.19,0.2124,,,144,11.75,50,11.13,41.8,45.7,-0.352
,Vietnam Sunergy Joint Stock Company VSUN465-144BMH,Vietnam Sunergy Joint Stock Company,Mono-crystalline,1,465.234,433,2.19,0.2124,,,72,11.75,50,11.13,41.8,45.7,-0.352
,HYUNDAI ENERGY SOLUTIONS CO. LTD. HiG-S460XI,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Mono-crystalline,0,460.218,427.5,2.19,0.2101,,,72,11.67,50.4,11.01,41.8,45,-0.373
,United Renewable Energy Co. Ltd. FAK460E8G,United Renewable Energy Co. Ltd.,Mono-crystalline,0,460.218,427.5,2.19,0.2101,,,72,11.67,50.4,11.01,41.8,45,-0.373
,United Renewable Energy Co. Ltd. FAK460E8G-BW,United Renewable Energy Co. Ltd.,Mono-crystalline,0,460.218,427.5,2.19,0.2101,,,72,11.67,50.4,11.01,41.8,45,-0.373
,Vietnam Sunergy Joint Stock Company VSUN460-144MH,Vietnam Sunergy Joint Stock Company,Mono-crystalline,0,460.218,427.5,2.19,0.2101,,,72,11.67,50.4,11.01,41.8,45,-0.373
,Vietnam Sunergy Joint Stock Company VSUN460-144MH-BW,Vietnam Sunergy Joint Stock Company,Mono-crystalline,0,460.218,427.5,2.19,0.2101,,,72,11.67,50.4,11.01,41.8,45,-0.373
,HYUNDAI ENERGY SOLUTIONS CO. LTD. HiG-S460YI,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Mono-crystalline,1,460.096,428.2,2.19,0.2101,,,72,11.67,49.8,11.06,41.6,45.7,-0.352
,United Renewable Energy Co. Ltd. FAK460C8G,United Renewable Energy Co. Ltd.,Mono-crystalline,1,460.096,428.2,2.19,0.2101,,,144,11.67,49.8,11.06,41.6,45.7,-0.352
,Vietnam Sunergy Joint Stock Company VSUN460-144BMH,Vietnam Sunergy Joint Stock Company,Mono-crystalline,1,460.096,428.2,2.19,0.2101,,,72,11.67,49.8,11.06,41.6,45.7,-0.352
,HYUNDAI ENERGY SOLUTIONS CO. LTD. HiG-S455YI,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Mono-crystalline,1,455.4,423.4,2.19,0.2079,,,72,11.6,49.6,11,41.4,45.7,-0.352
,United Renewable Energy Co. Ltd. FAK455C8G,United Renewable Energy Co. Ltd.,Mono-crystalline,1,455.4,423.4,2.19,0.2079,,,144,11.6,49.6,11,41.4,45.7,-0.352
,Vietnam Sunergy Joint Stock Company VSUN455-144BMH,Vietnam Sunergy Joint Stock Company,Mono-crystalline,1,455.4,423.4,2.19,0.2079,,,72,11.6,49.6,11,41.4,45.7,-0.352
,HYUNDAI ENERGY SOLUTIONS CO. LTD. HiG-S455XI,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Mono-crystalline,0,455.104,422.7,2.19,0.2078,,,72,11.59,50.2,10.94,41.6,45,-0.373
,United Renewable Energy Co. Ltd. FAK455E8G,United Renewable Energy Co. Ltd.,Mono-crystalline,0,455.104,422.7,2.19,0.2078,,,72,11.59,50.2,10.94,41.6,45,-0.373
,United Renewable Energy Co. Ltd. FAK455E8G-BW,United Renewable Energy Co. Ltd.,Mono-crystalline,0,455.104,422.7,2.19,0.2078,,,72,11.59,50.2,10.94,41.6,45,-0.373
,Vietnam Sunergy Joint Stock Company VSUN455-144MH,Vietnam Sunergy Joint Stock Company,Mono-crystalline,0,455.104,422.7,2.19,0.2078,,,72,11.59,50.2,10.94,41.6,45,-0.373
,Vietnam Sunergy Joint Stock Company VSUN455-144MH-BW,Vietnam Sunergy Joint Stock Company,Mono-crystalline,0,455.104,422.7,2.19,0.2078,,,72,11.59,50.2,10.94,41.6,45,-0.373
,HYUNDAI ENERGY SOLUTIONS CO. LTD. HiG-S450YI,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Mono-crystalline,1,450.316,418.6,2.19,0.2056,,,72,11.52,49.4,10.93,41.2,45.7,-0.352
,United Renewable Energy Co. Ltd. FAK450C8G,United Renewable Energy Co. Ltd.,Mono-crystalline,1,450.316,418.6,2.19,0.2056,,,144,11.52,49.4,10.93,41.2,45.7,-0.352
,Vietnam Sunergy Joint Stock Company VSUN450-144BMH,Vietnam Sunergy Joint Stock Company,Mono-crystalline,1,450.316,418.6,2.19,0.2056,,,72,11.52,49.4,10.93,41.2,45.7,-0.352
,La Solar LLC LS450BL,La Solar LLC,Mono-crystalline,0,450.18,421.1,2.19,0.2056,,,72,11.53,49.6,10.98,41,44.1,-0.352
,HYUNDAI ENERGY SOLUTIONS CO. LTD. HiG-S450XI,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Mono-crystalline,0,450.018,418,2.19,0.2055,,,72,11.5,50,10.87,41.4,45,-0.373
,United Renewable Energy Co. Ltd. FAK450E8G,United Renewable Energy Co. Ltd.,Mono-crystalline,0,450.018,418,2.19,0.2055,,,72,11.5,50,10.87,41.4,45,-0.373
,United Renewable Energy Co. Ltd. FAK450E8G-BW,United Renewable Energy Co. Ltd.,Mono-crystalline,0,450.018,418,2.19,0.2055,,,72,11.5,50,10.87,41.4,45,-0.373
,Vietnam Sunergy Joint Stock Company VSUN450-144MH,Vietnam Sunergy Joint Stock Company,Mono-crystalline,0,450.018,418,2.19,0.2055,,,72,11.5,50,10.87,41.4,45,-0.373
,Vietnam Sunergy Joint Stock Company VSUN450-144MH-BW,Vietnam Sunergy Joint Stock Company,Mono-crystalline,0,450.018,418,2.19,0.2055,,,72,11.5,50,10.87,41.4,45,-0.373
,HYUNDAI ENERGY SOLUTIONS CO. LTD. HiG-S445XI,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Mono-crystalline,0,445.372,413.2,2.19,0.2034,,,72,11.42,49.8,10.81,41.2,45,-0.373
,United Renewable Energy Co. Ltd. FAK445E8G,United Renewable Energy Co. Ltd.,Mono-crystalline,0,445.372,413.2,2.19,0.2034,,,72,11.42,49.8,10.81,41.2,45,-0.373
,United Renewable Energy Co. Ltd. FAK445E8G-BW,United Renewable Energy Co. Ltd.,Mono-crystalline,0,445.372,413.2,2.19,0.2034,,,72,11.42,49.8,10.81,41.2,45,-0.373
,United Renewable Energy Co. Ltd. FAM445E8G,United Renewable Energy Co. Ltd.,Mono-crystalline,0,445.372,415.6,2.19,0.2034,,,72,11.42,49.8,10.81,41.2,45.7,-0.333
,United Renewable Energy Co. Ltd. FAM445E8G-BB,United Renewable Energy Co. Ltd.,Mono-crystalline,0,445.372,415.6,2.19,0.2034,,,72,11.42,49.8,10.81,41.2,45.7,-0.333
,United Renewable Energy Co. Ltd. FAM445E8G-BW,United Renewable Energy Co. Ltd.,Mono-crystalline,0,445.372,415.6,2.19,0.2034,,,72,11.42,49.8,10.81,41.2,45.7,-0.333
,Vietnam Sunergy Joint Stock Company VSUN445-144M,Vietnam Sunergy Joint Stock Company,Mono-crystalline,0,445.372,415.6,2.19,0.2034,,,72,11.42,49.8,10.81,41.2,45.7,-0.333
